Date,Decision,Context,Options Considered,Reason,Impact,Owner,Related Jira Issue,Evidence Link,Status
2026-06-01,انتخاب موضوع تریاژ/اورژانس,نیاز به پروژه‌ای با ارزش انسانی، KPI قابل اندازه‌گیری و قابلیت دفاع در درس مدیریت پروژه فناوری اطلاعات.,شبکه اجتماعی بازی‌محور؛ داشبورد عمومی؛ سامانه سلامت.,موضوع تریاژ ارزش اجتماعی و ضرورت عملیاتی بالاتری دارد و با متریک‌هایی مثل Recall و FPR قابل ارزیابی است.,تمرکز پروژه از ایده صرفاً نرم‌افزاری به MVP سلامت‌محور و قابل دفاع تغییر کرد.,محمدامین پورمند,PD-01,docs/scope-change-record.md; commit e1962ae,Done
2026-06-21,انتخاب نام «امداد یار»,نیاز به نام فارسی، انسانی، قابل فهم و مناسب انتشار عمومی.,Triage ED؛ تریاژ هوشمند؛ امداد یار.,امداد یار برای کاربر فارسی‌زبان ساده‌تر و انسانی‌تر است.,هویت محصول در UI و مستندات یکپارچه شد.,محدثه حاتمی کیا,UX-02,frontend/index.html; commit 70f7647; commit 43737c8,Done
2026-06-01,تعریف سیستم به‌عنوان پشتیبان تصمیم نه جایگزین متخصص,حوزه سلامت و خروجی AI ریسک اخلاقی مستقیم دارد.,تشخیص قطعی خودکار؛ پیشنهاد مستقل؛ پشتیبان تصمیم.,پشتیبان تصمیم با مسئولیت بالینی و استاندارد اخلاقی سازگارتر است.,Disclaimer در UI، docs، model card و AI usage report تکرار شد.,محمدامین پورمند,SAFE-01,docs/model-card.md; frontend/index.html; docs/ai-usage-report.md,Done
2026-06-10,انتخاب طراحی فارسی و راست‌به‌چپ,کاربران هدف فارسی‌زبان هستند و ارائه دانشگاهی نیز فارسی است.,UI انگلیسی؛ UI دو زبانه؛ UI فارسی RTL.,فارسی RTL فهم سریع‌تر و نمایش بهتر برای کاربر نهایی ایجاد می‌کند.,HTML با lang=fa و dir=rtl طراحی شد و مستندات با wrapper راست‌چین آماده شدند.,محدثه حاتمی کیا,UX-01,frontend/index.html; scripts/normalize_markdown_rtl.py; commit 2cb3d68,Done
2026-06-10,انتخاب mobile-first / PWA,کاربر باید بتواند محصول را روی گوشی باز کند و استاد/کاربر پایلوت بدون local server تست کند.,وب local؛ اپ native؛ PWA؛ TWA.,PWA سریع‌ترین مسیر برای دسترسی عمومی، نصب موبایل و demo است.,manifest، service worker، QR و بسته market آماده شد.,محمدامین پورمند,FE-04,frontend/manifest.webmanifest; frontend/sw.js; docs/artifacts/emdadyar-pwa-qr.png,Done
2026-06-15,اضافه شدن نمونه‌های آماده تست,برای demo، QA و تست سریع استاد نیاز به داده نمونه وجود داشت.,ورودی دستی کامل؛ فایل نمونه؛ دکمه‌های سناریو.,دکمه سناریو سریع‌ترین و کم‌خطاترین راه نمایش رفتار محصول است.,سناریوهای پرخطر، متوسط، اطلاعات کم و درد قفسه سینه اضافه شدند.,محدثه حاتمی کیا,QA-03,frontend/app.js; poster-assets/ui-critical-scenario.png,Done
2026-06-15,اضافه شدن مسیر بازخورد,محصول برای سنجش کاربردپذیری به حلقه بازخورد ذی‌نفع نیاز داشت.,بدون بازخورد؛ فرم درون UI؛ فرم جدا برای پایلوت.,برای MVP endpoint بازخورد آماده شد، اما در نسخه محصول نهایی فرم پایین اپ حذف شد تا UI کاربر درمانی شلوغ نشود.,backend feedback export باقی ماند و برنامه جمع‌آوری بازخورد در docs ثبت شد.,محمدرضا آرمان‌پور,FB-01,backend/main.py; docs/knowledge-base/stakeholder-feedback-log.md; commit 8d17c0d,Partially Done - real external feedback needs completion
2026-06-10,اضافه شدن هشدارهای ایمنی,عدد مدل به تنهایی برای کاربر قابل اقدام نیست.,فقط probability؛ probability + explanation؛ probability + هشدارهای مهم.,هشدارهای مهم به کاربر نشان می‌دهد چرا خروجی نگران‌کننده است.,Explainability و safety در UI تقویت شد.,محمدامین پورمند,SAFE-02,frontend/app.js; ml/inference.py,Done
2026-06-10,اضافه شدن اقدام بعدی,کاربر به خروجی قابل عمل نیاز دارد.,نمایش ESI؛ نمایش ریسک؛ نمایش اقدام بعدی.,اقدام بعدی فاصله بین خروجی مدل و workflow عملی را کم می‌کند.,خروجی محصول ساده‌تر و کاربردی‌تر شد.,محدثه حاتمی کیا,SAFE-03,frontend/index.html; frontend/app.js,Done
2026-06-23,اضافه شدن QR Code,در پوستر و ارائه باید دسترسی موبایلی سریع وجود داشته باشد.,URL متنی؛ QR؛ لینک کوتاه.,QR برای تست با گوشی سریع‌تر و حرفه‌ای‌تر است.,QR در deliverables و poster assets قرار گرفت.,محمدرضا آرمان‌پور,FD-03,docs/artifacts/emdadyar-pwa-qr.png; commit 45990bf,Done
