id,source_type,is_real_feedback,persona_group,device,understandability,ui_clarity,disclaimer_clarity,install_clarity,trust,comment,issue_tags,action_taken
SPF-001,synthetic_pre_pilot,false,پرستار تریاژ,Android/Chrome,4,4,5,4,4,خروجی فوری و قابل فهم است، فقط بهتر است اصطلاح «درصد خطر» کنار متن عملیاتی‌تر دیده شود.,"result-copy,clinical-language",متن نتیجه ساده‌تر شد و درصد کنار اقدام پیشنهادی باقی ماند.
SPF-002,synthetic_pre_pilot,false,دانشجوی پزشکی,Android/Chrome,4,5,5,4,4,اینکه سیستم جایگزین پزشک نیست واضح است. بخش عوامل موثر کمک می‌کند خروجی کورکورانه پذیرفته نشود.,"explainability,ethics",بخش عوامل موثر و هشدار اخلاقی حفظ شد.
SPF-003,synthetic_pre_pilot,false,کاربر عمومی,iPhone/Safari,3,4,4,3,3,نصب روی آیفون برایم واضح نبود و اول فکر کردم باید فایل دانلود کنم.,"install,ios",کارت نصب Android/iPhone به صفحه اصلی اضافه شد.
SPF-004,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Chrome,5,4,5,5,4,ظاهر برنامه حرفه‌ای است ولی فرم بازخورد پایین صفحه حس نسخه آزمایشی می‌داد.,"final-mode,feedback-form",فرم بازخورد از نسخه عمومی حذف شد.
SPF-005,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,برای شرایط شلوغ، دکمه ارزیابی باید همیشه در موبایل در دسترس باشد.,mobile-action,نوار اکشن موبایل حفظ و ساده‌سازی شد.
SPF-006,synthetic_pre_pilot,false,مدیریت بحران,Desktop/Edge,4,4,5,4,4,ارزش اجتماعی پروژه خوب منتقل می‌شود اما داخل اپ نباید شبیه گزارش دانشگاهی باشد.,product-focus,محتوای مدیریتی از UI محصول جدا نگه داشته شد.
SPF-007,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,4,4,3,کلمه هشدارهای مهم بهتر از پرچم‌های ایمنی است و برای من قابل فهم‌تر بود.,terminology,اصطلاح هشدارهای مهم در UI حفظ شد.
SPF-008,synthetic_pre_pilot,false,کاربر عمومی,Android/Samsung Internet,3,3,4,3,3,نمونه‌های آماده خوب‌اند ولی نباید بالای فرم باشند چون ممکن است با ورودی واقعی اشتباه شوند.,scenario-placement,سناریوهای آماده پایین فرم و با برچسب اختیاری نگه داشته شدند.
SPF-009,synthetic_pre_pilot,false,دانشجوی مهندسی مالی,Desktop/Chrome,5,5,5,4,5,داشبورد نتیجه خوب است. خلاصه کیس برای ارائه خیلی کاربردی است.,case-summary,کپی و چاپ خلاصه کیس حفظ شد.
SPF-010,synthetic_pre_pilot,false,دانشجوی پزشکی,Android/Chrome,4,4,5,4,4,برای داده ناقص خوب پاسخ می‌دهد، اما باید میزان کامل بودن داده همیشه واضح باشد.,"partial-input,data-quality",نوار کامل بودن داده و درصد آن حفظ شد.
