"Risk ID","Risk Description","Cause","Impact","Probability","Severity","Mitigation Plan","Owner","Status","Related Jira Issue"
"R-01","برداشت اشتباه از سیستم به‌عنوان تشخیص پزشکی","اتکای بیش از حد کاربر به خروجی یا متن نامناسب محصول","ریسک اخلاقی و تصمیم درمانی اشتباه","3","5","تکرار disclaimer، متن decision-support، آموزش کاربر و تأیید متخصص در فاز بعد","محمدامین پورمند","Open","EMD-34"
"R-02","داده ناقص","در تریاژ ممکن است همه علائم حیاتی در دسترس نباشند","کاهش اطمینان خروجی","4","4","پشتیبانی از missingness، نمایش data completeness و فیلدهای پیشنهادی باقی‌مانده","محدثه حاتمی کیا","Mitigated","EMD-19"
"R-03","خطای مثبت کاذب زیاد","threshold safety-first و ورودی ناقص می‌توانند حساسیت را بالا ببرند","افزایش فشار منابع اورژانس","4","4","گزارش FPR هر پروفایل، محدود کردن adaptive threshold به دو الگوی اعتبارسنجی‌شده و رد core-vitals با FPR=0.784","محمدرضا آرمان‌پور","Open - requires site calibration","EMD-18 / EMD-43"
"R-04","خطای منفی کاذب برای بیمار پرخطر","مدل ممکن است بیمار بحرانی را کم‌ریسک تشخیص دهد","خطر انسانی جدی","3","5","اولویت دادن به Recall، safety flags و هشدار استفاده انسانی","محمدامین پورمند","Open","EMD-18 / EMD-56"
"R-05","نبود اعتبارسنجی بالینی","اعتبارسنجی کاربردپذیری با اعتبارسنجی بالینی متفاوت است","کاهش قابلیت استفاده واقعی","4","5","ثبت محدودیت، ۹ بازخورد پرستار، درخواست ملاقات با دو مرکز درمانی و طراحی پایلوت بالینی","محمدرضا آرمان‌پور","Open - outreach in progress","EMD-61"
"R-06","محدودیت داده آموزشی","داده ثانویه و غیر بومی","احتمال تفاوت عملکرد در محیط واقعی ایران","4","4","شفاف‌سازی در model card و برنامه جذب داده/feedback بومی","محمدامین پورمند","Open","EMD-18"
"R-07","ناقص بودن مستندات","تمرکز زیاد روی کدنویسی و کمبود artifact مدیریتی","کاهش قابلیت ارزیابی، انتقال و نگهداری پروژه","2","5","ساخت Knowledge Base، final index، Word deliverables و بسته Notion/Jira","محدثه حاتمی کیا","Mitigated","EMD-59"
"R-08","مشخص نبودن نقش اعضای تیم","تمرکز زیاد کار فنی روی یک نفر","ایراد در ارزیابی تیمی","3","4","تعریف نقش‌های ساده، time tracking و assignee در Jira","محمدرضا آرمان‌پور","Needs Completion","EMD-44"
"R-09","وابستگی بیش از حد به ابزارهای کمکی","پذیرش خروجی ابزارهای توسعه و تحلیل بدون بازبینی مستقل","کاهش اعتبار علمی و اخلاقی","3","4","مستند حاکمیت ابزارهای کمکی، کنترل انسانی، آزمون و عدم پذیرش خروجی بدون بررسی","محمدامین پورمند","Mitigated","EMD-49"
"R-10","آماده نبودن deploy","نیاز به اجرای غیرلوکال روی موبایل","عدم امکان تست عمومی","2","5","GitHub Pages PWA، config API و راهنمای deploy","محمدامین پورمند","Mitigated","EMD-51"
"R-11","نقص در تجربه کاربری موبایل","کوچک بودن صفحه، متن‌های زیاد یا ابهام در نصب","کاهش پذیرش کاربر","3","4","mobile-first design، tabs، install help و screenshots","محدثه حاتمی کیا","Mitigated","EMD-26"
"R-12","محدود ماندن دامنه بازخورد ذی‌نفعان","دشواری دسترسی سازمانی به محیط درمان","کاهش تعمیم‌پذیری یافته‌های UX","3","4","ثبت ۹ بازخورد تأییدشده پرستاران، پیگیری دو مرکز درمانی و برنامه پایلوت کمی","محمدرضا آرمان‌پور","Partially Mitigated","EMD-61"
"R-13","برداشت قواعد ایمنی به‌عنوان پروتکل بالینی تأییدشده","قواعد بر منابع عمومی و منطق مهندسی تکیه دارند اما در بیمارستان مقصد اعتبارسنجی نشده‌اند","استفاده خارج از دامنه و اعتماد بیش از حد","3","5","نمایش disclaimer، نسخه‌گذاری قواعد، ثبت منبع و الزام تطبیق با پروتکل محلی پیش از استفاده درمانی","محمدامین پورمند","Open","EMD-56"
"R-14","آزمون نشدن APK روی سخت‌افزار واقعی","نبود دستگاه یا emulator متصل در زمان بسته‌بندی","احتمال کشف دیرهنگام مشکل WebView یا نصب مارکت","3","4","نصب روی حداقل یک گوشی Android 6+، اجرای سناریوهای خالی/بحرانی/sparse و ثبت screenshot پیش از انتشار عمومی","محدثه حاتمی کیا","Open","EMD-60"
