"Issue Type","Summary","Description","Epic Name","Parent","Assignee","Priority","Story Points","Sprint","Status","Labels","Acceptance Criteria","Definition of Done","Notion Link","Evidence Link"
"Epic","Problem Discovery & Scope","شناخت مسئله، ذی‌نفعان، ارزش انسانی، دامنه MVP و محدودیت‌های اخلاقی.","Problem Discovery & Scope","","محمدامین پورمند","High","8","Sprint 0","Done","scope,stakeholder,ethics,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","project-management-final-package/"
"Story","تعریف مسئله تریاژ اورژانس","شرح مسئله ازدحام، فشار زمانی و خطر تأخیر در شناسایی بیمار بحرانی.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","High","3","Sprint 0","Done","scope,problem,status-done","مسئله در یک متن رسمی و قابل دفاع ثبت شود.","docs مرتبط موجود و به Notion لینک شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/project-management-plan.md"
"Story","ثبت ذی‌نفعان و کاربران هدف","شناسایی پرستار تریاژ، تیم اورژانس، مدیریت بحران، استاد و کاربران پایلوت.","Problem Discovery & Scope","Problem Discovery & Scope","محمدرضا آرمان‌پور","High","2","Sprint 0","Done","stakeholder,status-done","حداقل ۵ گروه ذی‌نفع با نیازشان ثبت شود.","stakeholder register کامل باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/stakeholder-register.md"
"Story","تعریف مرز اخلاقی decision-support","تعیین اینکه سیستم جایگزین پزشک/پرستار نیست.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","Highest","3","Sprint 0","Done","ethics,safety,status-done","disclaimer در UI و docs آمده باشد.","در model-card و privacy ثبت شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/model-card.md; frontend/privacy.html"
"Story","تعریف محدوده MVP","مشخص کردن داخل/خارج از محدوده برای جلوگیری از scope creep.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","High","2","Sprint 0","Done","mvp,scope,status-done","دامنه محصول و خارج از محدوده روشن باشد.","overview و roadmap تکمیل شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/roadmap.md"
"Story","تعریف ارزش انسانی، اجتماعی و ملی","ثبت ارزش پروژه و پیامد مورد انتظار برای گزارش و پوستر.","Problem Discovery & Scope","Problem Discovery & Scope","محمدرضا آرمان‌پور","Medium","2","Sprint 0","Done","value,social,status-done","ارزش انسانی/اجتماعی/ملی جداگانه ثبت شود.","در report/poster قابل استفاده باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","poster-final-assets-fa.md"
"Epic","Data & Model Logic","طراحی منطق مدل، داده‌های triage-time، کنترل leakage و متریک‌های v7.","Data & Model Logic","","محمدامین پورمند","High","8","Sprint 1","Done","ml,data,metrics,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","project-management-final-package/"
"Story","انتخاب featureهای زمان تریاژ","استفاده از سن، شکایت، علائم حیاتی و سابقه قابل پرسش.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","5","Sprint 1","Done","triage-time,data,status-done","هیچ داده post-triage در ورودی نهایی نباشد.","Model Card شامل included/excluded sources باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/model-card.md"
"Story","کنترل data leakage","حذف labs، meds، imaging، disposition و انتخاب threshold روی validation.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","5","Sprint 1","Done","leakage,validation,status-done","leakage control در docs ثبت شود.","metrics و train script قابل اشاره باشند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","ml/train.py; reports/model/metrics_v7.json"
"Story","آموزش و ارزیابی مدل v7","ثبت AUC، Recall، Precision، FPR و threshold نهایی.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","8","Sprint 3","Done","v7,metrics,status-done","AUC>=0.90 و Recall>=0.92 در test گزارش شود.","metrics_v7.json و model-card به‌روز باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","reports/model/metrics_v7.json"
